massa_A
t	x	y
0,000	0,000	0,000
0,017	1,372E-4	-1,451E-4
0,033	3,286E-4	4,625E-5
0,050	8,070E-4	-4,944E-5
0,067	1,381E-3	-4,944E-5
0,083	1,860E-3	-4,944E-5
0,100	2,434E-3	-4,944E-5
0,117	3,295E-3	-4,944E-5
0,133	3,869E-3	4,625E-5
0,150	4,539E-3	-4,944E-5
0,167	5,783E-3	-4,944E-5
0,184	6,740E-3	-1,451E-4
0,200	7,697E-3	-1,451E-4
0,217	9,133E-3	-3,365E-4
0,234	9,898E-3	-3,365E-4
0,250	1,133E-2	-4,322E-4
0,267	1,296E-2	-5,279E-4
0,284	1,401E-2	-5,279E-4
0,300	1,535E-2	-6,236E-4
0,317	1,698E-2	-6,236E-4
0,334	1,861E-2	-6,236E-4
0,350	2,004E-2	-7,193E-4
0,367	2,224E-2	-6,236E-4
0,384	2,368E-2	-7,193E-4
0,400	2,559E-2	-7,193E-4
0,417	2,751E-2	-9,107E-4
0,434	2,942E-2	-9,107E-4
0,450	3,191E-2	-1,102E-3
0,467	3,373E-2	-1,389E-3
0,484	3,593E-2	-1,294E-3
0,501	3,775E-2	-1,294E-3
0,517	4,004E-2	-1,389E-3
0,534	4,234E-2	-1,485E-3
0,551	4,473E-2	-1,676E-3
0,567	4,741E-2	-1,868E-3
0,584	4,971E-2	-2,250E-3
0,601	5,267E-2	-2,538E-3
0,617	5,526E-2	-2,633E-3
0,634	5,794E-2	-2,633E-3
0,651	6,090E-2	-3,016E-3
0,667	6,397E-2	-3,112E-3
0,684	6,684E-2	-3,016E-3
0,701	6,971E-2	-2,920E-3
0,717	7,239E-2	-3,112E-3
0,734	7,574E-2	-3,399E-3
0,751	7,899E-2	-3,495E-3
0,767	8,263E-2	-3,590E-3
0,784	8,559E-2	-3,686E-3
0,801	8,923E-2	-3,399E-3
0,817	9,277E-2	-3,686E-3
0,834	9,603E-2	-4,069E-3
0,851	0,100	-4,739E-3
0,868	0,103	-4,930E-3
0,884	0,106	-4,547E-3
0,901	0,110	-5,217E-3
0,918	0,115	-4,451E-3
0,934	0,119	-5,026E-3
0,951	0,122	-5,026E-3
0,968	0,126	-5,121E-3
0,984	0,130	-5,026E-3
1,001	0,134	-5,313E-3
1,018	0,138	-5,600E-3
1,034	0,142	-5,696E-3
1,051	0,146	-6,078E-3
1,068	0,150	-6,078E-3
1,084	0,154	-6,174E-3
1,101	0,158	-6,174E-3
1,118	0,162	-6,365E-3
1,134	0,166	-6,748E-3
1,151	0,171	-6,557E-3
1,168	0,175	-6,844E-3
1,185	0,180	-6,940E-3
1,201	0,184	-6,844E-3
1,218	0,188	-6,940E-3
1,235	0,192	-7,227E-3
1,251	0,197	-7,131E-3
1,268	0,201	-7,514E-3
1,285	0,205	-7,801E-3
1,301	0,210	-7,705E-3
1,318	0,214	-7,609E-3
